MatchDate,HomeTeam,AwayTeam,HomeElo,AwayElo,Form3Home,Form3Away,Form5Home,Form5Away
2000-11-11,Hansa Rostock,Unterhaching,1628.9,1608.45,4.0,5.0,7.0,5.0
2000-11-11,Schalke 04,Bayern Munich,1674.76,1844.03,1.0,7.0,4.0,7.0
2000-11-11,Werder Bremen,VfL Bochum,1681.21,1570.79,1.0,1.0,5.0,4.0
2000-11-12,Cottbus,VfB Stuttgart,1552.88,1641.91,4.0,4.0,8.0,6.0
2000-11-12,Eintracht Frankfurt,Kaiserslautern,1640.67,1694.67,3.0,9.0,4.0,13.0
2000-11-17,VfB Stuttgart,Munich 1860,1661.32,1667.36,3.0,2.0,5.0,2.0
2000-11-18,1. FC Koln,Hansa Rostock,1613.88,1628.43,7.0,2.0,10.0,5.0
2000-11-18,Bayern Munich,Eintracht Frankfurt,1844.65,1655.68,4.0,6.0,7.0,6.0
2000-11-18,Hamburger SV,Bayer Leverkusen,1733.72,1797.72,3.0,7.0,7.0,11.0
2000-11-18,Hertha,Schalke 04,1716.29,1687.65,6.0,4.0,12.0,7.0
2000-11-18,Kaiserslautern,SC Freiburg,1696.26,1614.01,6.0,0.0,12.0,3.0
2000-11-18,VfL Wolfsburg,Werder Bremen,1696.58,1689.99,3.0,4.0,9.0,5.0
2000-11-19,VfL Bochum,Borussia Dortmund,1573.87,1663.95,1.0,3.0,1.0,6.0
2000-11-19,Unterhaching,Cottbus,1616.54,1574.71,5.0,7.0,6.0,10.0
2000-11-24,Schalke 04,VfL Bochum,1687.65,1573.87,6.0,2.0,7.0,2.0
2000-11-25,Cottbus,1. FC Koln,1574.71,1613.88,4.0,7.0,7.0,10.0
2000-11-25,Borussia Dortmund,VfL Wolfsburg,1663.95,1696.58,4.0,3.0,4.0,7.0
2000-11-25,Eintracht Frankfurt,Hertha,1655.68,1716.29,6.0,3.0,9.0,9.0
2000-11-25,SC Freiburg,Bayern Munich,1614.01,1844.65,3.0,3.0,6.0,7.0
2000-11-25,Hansa Rostock,Hamburger SV,1628.43,1733.72,1.0,3.0,5.0,6.0
2000-11-26,Munich 1860,Unterhaching,1667.36,1616.54,3.0,5.0,3.0,9.0
2000-11-26,Bayer Leverkusen,Kaiserslautern,1797.72,1696.26,9.0,3.0,13.0,9.0
2000-11-26,Werder Bremen,VfB Stuttgart,1689.99,1661.32,4.0,4.0,5.0,5.0
2000-12-02,1. FC Koln,Munich 1860,1633.64,1658.92,9.0,2.0,13.0,3.0
2000-12-02,Bayern Munich,Bayer Leverkusen,1827.7,1803.13,1.0,9.0,5.0,13.0
2000-12-02,VfL Bochum,Eintracht Frankfurt,1568.42,1648.09,1.0,6.0,2.0,9.0
2000-12-02,Hertha,SC Freiburg,1708.14,1632.26,3.0,4.0,9.0,4.0
2000-12-02,VfB Stuttgart,Borussia Dortmund,1658.08,1668.11,1.0,7.0,4.0,7.0
2000-12-02,VfL Wolfsburg,Schalke 04,1684.89,1711.12,2.0,9.0,4.0,10.0
2000-12-03,Cottbus,Hansa Rostock,1555.38,1624.16,3.0,4.0,7.0,5.0
2000-12-03,Kaiserslautern,Hamburger SV,1668.81,1710.0,0.0,0.0,6.0,3.0
2000-12-08,Eintracht Frankfurt,VfL Wolfsburg,1648.09,1684.89,3.0,4.0,6.0,6.0
2000-12-09,Munich 1860,Hansa Rostock,1658.92,1624.16,1.0,3.0,3.0,4.0
2000-12-09,Borussia Dortmund,Unterhaching,1668.11,1635.45,7.0,7.0,10.0,11.0
2000-12-09,SC Freiburg,VfL Bochum,1632.26,1568.42,5.0,4.0,5.0,5.0
2000-12-09,Kaiserslautern,Bayern Munich,1668.81,1827.7,3.0,4.0,6.0,7.0
2000-12-09,Schalke 04,VfB Stuttgart,1711.12,1658.08,6.0,1.0,9.0,4.0
2000-12-10,Hamburger SV,Cottbus,1710.0,1555.38,0.0,3.0,3.0,7.0
2000-12-10,Bayer Leverkusen,Hertha,1803.13,1708.14,6.0,4.0,12.0,7.0
2000-12-10,Werder Bremen,1. FC Koln,1687.04,1633.64,7.0,9.0,8.0,13.0
2000-12-12,VfB Stuttgart,Eintracht Frankfurt,1658.08,1648.09,0.0,0.0,1.0,6.0
2000-12-12,Unterhaching,Schalke 04,1635.45,1711.12,6.0,6.0,8.0,12.0
2000-12-12,VfL Wolfsburg,SC Freiburg,1684.89,1632.26,6.0,5.0,8.0,8.0
2000-12-13,1. FC Koln,Borussia Dortmund,1633.64,1668.11,6.0,9.0,12.0,13.0
2000-12-13,Bayern Munich,Hamburger SV,1827.7,1710.0,5.0,3.0,5.0,3.0
2000-12-13,VfL Bochum,Bayer Leverkusen,1568.42,1803.13,3.0,6.0,4.0,12.0
2000-12-13,Cottbus,Munich 1860,1555.38,1658.92,3.0,3.0,6.0,5.0
2000-12-13,Hansa Rostock,Werder Bremen,1624.16,1687.04,3.0,7.0,4.0,10.0
2000-12-13,Hertha,Kaiserslautern,1708.14,1668.81,4.0,4.0,4.0,4.0
2000-12-15,Unterhaching,Eintracht Frankfurt,1606.38,1613.92,3.0,0.0,7.0,3.0
2000-12-16,1. FC Koln,Schalke 04,1630.85,1710.2,4.0,6.0,10.0,12.0
2000-12-16,Munich 1860,Hamburger SV,1635.86,1684.26,6.0,3.0,7.0,3.0
2000-12-16,VfL Bochum,Kaiserslautern,1568.62,1699.54,6.0,7.0,7.0,7.0
2000-12-16,Hansa Rostock,Borussia Dortmund,1615.4,1682.93,3.0,7.0,6.0,11.0
2000-12-16,VfB Stuttgart,SC Freiburg,1644.92,1649.28,3.0,7.0,4.0,11.0
2000-12-16,VfL Wolfsburg,Bayer Leverkusen,1681.9,1767.12,6.0,3.0,7.0,9.0
2000-12-17,Cottbus,Werder Bremen,1542.38,1667.32,3.0,6.0,3.0,10.0
2000-12-17,Hertha,Bayern Munich,1666.58,1830.83,1.0,7.0,4.0,8.0
2000-12-20,Unterhaching,Werder Bremen,1606.38,1667.32,3.0,3.0,9.0,7.0
2001-01-26,Schalke 04,Hansa Rostock,1710.91,1606.59,7.0,3.0,10.0,6.0
2001-01-27,Bayern Munich,VfL Bochum,1839.83,1561.66,7.0,3.0,11.0,6.0
2001-01-27,Borussia Dortmund,Cottbus,1691.75,1554.18,7.0,3.0,13.0,6.0
2001-01-27,Eintracht Frankfurt,1. FC Koln,1605.88,1630.14,0.0,2.0,0.0,8.0
2001-01-27,SC Freiburg,Unterhaching,1652.07,1612.72,7.0,4.0,9.0,7.0
2001-01-27,Kaiserslautern,VfL Wolfsburg,1706.5,1692.34,7.0,6.0,10.0,9.0
