Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,PSH,PSD,PSA,HomeElo,AwayElo,Form3Home,Form3Away,Form5Home,Form5Away
2223,2022-11-05,Werder Bremen,Schalke 04,2,1,H,11.0,19.0,5.0,3.0,3.0,3.0,3.0,2.0,0.0,0.0,1.65,4.33,4.5,1.66,4.42,5.11,1643.7,1552.03,3.0,0.0,9.0,0.0
2223,2022-11-05,TSG Hoffenheim,RB Leipzig,1,3,A,11.0,17.0,3.0,8.0,6.0,3.0,4.0,2.0,0.0,0.0,2.9,3.75,2.25,3.06,3.75,2.33,1700.58,1803.4,4.0,7.0,5.0,11.0
2223,2022-11-05,Hertha,Bayern Munich,2,3,A,7.0,14.0,5.0,4.0,2.0,7.0,0.0,0.0,0.0,0.0,10.0,6.5,1.25,11.21,6.52,1.27,1616.52,1999.01,3.0,9.0,5.0,13.0
2223,2022-11-05,Borussia Dortmund,VfL Bochum,3,0,H,6.0,7.0,3.0,1.0,2.0,5.0,1.0,1.0,0.0,0.0,1.22,7.0,11.0,1.25,6.51,12.47,1823.34,1586.29,6.0,3.0,7.0,6.0
2223,2022-11-05,FC Augsburg,Eintracht Frankfurt,1,2,A,9.0,12.0,5.0,7.0,3.0,6.0,0.0,1.0,0.0,0.0,4.33,4.0,1.72,4.52,4.16,1.78,1623.38,1760.99,1.0,6.0,5.0,9.0
2223,2022-11-06,Bayer Leverkusen,Union Berlin,5,0,H,11.0,6.0,8.0,1.0,1.0,5.0,1.0,4.0,0.0,0.0,2.15,3.4,3.4,2.2,3.48,3.57,1725.01,1772.34,1.0,6.0,4.0,9.0
2223,2022-11-06,SC Freiburg,1. FC Koln,2,0,H,13.0,6.0,5.0,2.0,5.0,3.0,0.0,1.0,0.0,0.0,1.7,4.0,4.75,1.72,4.06,5.1,1774.95,1671.81,6.0,4.0,10.0,7.0
2223,2022-11-08,VfL Wolfsburg,Borussia Dortmund,2,0,H,15.0,20.0,8.0,6.0,6.0,9.0,4.0,2.0,0.0,0.0,3.1,3.6,2.2,3.17,3.64,2.32,1685.69,1823.34,7.0,9.0,9.0,10.0
2223,2022-11-08,Bayern Munich,Werder Bremen,6,1,H,21.0,4.0,10.0,1.0,8.0,4.0,0.0,0.0,0.0,0.0,1.14,9.5,15.0,1.16,8.84,17.46,1999.01,1643.7,9.0,6.0,13.0,9.0
2223,2022-11-08,VfB Stuttgart,Hertha,2,1,H,16.0,11.0,7.0,4.0,8.0,5.0,3.0,2.0,0.0,0.0,1.95,3.8,3.75,1.97,3.76,3.99,1626.8,1616.52,3.0,3.0,6.0,4.0
2223,2022-11-09,1. FC Koln,Bayer Leverkusen,1,2,A,17.0,10.0,7.0,3.0,6.0,1.0,1.0,2.0,0.0,0.0,3.0,3.75,2.2,3.21,3.6,2.31,1671.81,1725.01,1.0,4.0,4.0,7.0
2223,2022-11-09,Eintracht Frankfurt,TSG Hoffenheim,4,2,H,15.0,12.0,8.0,3.0,4.0,5.0,0.0,3.0,0.0,0.0,1.9,3.8,3.75,1.96,3.84,3.95,1760.99,1700.58,6.0,1.0,9.0,4.0
2223,2022-11-09,RB Leipzig,SC Freiburg,3,1,H,18.0,4.0,8.0,2.0,6.0,2.0,1.0,4.0,0.0,0.0,1.72,4.0,4.5,1.8,4.2,4.36,1803.4,1774.95,7.0,9.0,11.0,10.0
