Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,PSH,PSD,PSA
2223,2022-09-04,FC Augsburg,Hertha,0,2,A,8.0,16.0,2.0,6.0,5.0,1.0,2.0,1.0,0.0,0.0,2.45,3.3,2.87,2.59,3.4,2.94
2223,2022-09-04,Borussia Monchengladbach,FSV Mainz 05,0,1,A,13.0,12.0,3.0,5.0,4.0,8.0,1.0,4.0,1.0,0.0,2.2,3.8,3.0,2.29,3.73,3.16
2223,2022-09-09,Werder Bremen,FC Augsburg,0,1,A,11.0,14.0,6.0,5.0,3.0,7.0,4.0,5.0,0.0,0.0,1.53,4.5,5.5,1.56,4.71,5.9
2223,2022-09-10,Bayern Munich,VfB Stuttgart,2,2,D,18.0,8.0,7.0,3.0,3.0,0.0,2.0,5.0,0.0,0.0,1.14,8.0,17.0,1.17,8.98,16.13
2223,2022-09-10,Eintracht Frankfurt,VfL Wolfsburg,0,1,A,11.0,6.0,0.0,3.0,10.0,5.0,2.0,4.0,0.0,0.0,2.0,3.6,3.6,2.09,3.57,3.8
2223,2022-09-10,Hertha,Bayer Leverkusen,2,2,D,17.0,11.0,6.0,5.0,3.0,5.0,3.0,1.0,0.0,0.0,3.6,4.0,1.9,3.76,4.11,1.94
2223,2022-09-10,TSG Hoffenheim,FSV Mainz 05,4,1,H,21.0,10.0,9.0,2.0,7.0,5.0,3.0,2.0,0.0,1.0,2.25,3.75,2.9,2.36,3.58,3.14
2223,2022-09-10,RB Leipzig,Borussia Dortmund,3,0,H,14.0,4.0,5.0,0.0,5.0,8.0,2.0,1.0,0.0,0.0,2.3,3.9,2.75,2.39,3.94,2.86
2223,2022-09-10,Schalke 04,VfL Bochum,3,1,H,20.0,9.0,8.0,2.0,3.0,8.0,2.0,3.0,0.0,0.0,2.0,3.8,3.5,2.07,3.69,3.73
2223,2022-09-11,1. FC Koln,Union Berlin,0,1,A,7.0,12.0,2.0,3.0,7.0,8.0,4.0,1.0,1.0,0.0,2.37,3.4,2.9,2.54,3.53,2.89
2223,2022-09-11,SC Freiburg,Borussia Monchengladbach,0,0,D,13.0,14.0,8.0,5.0,7.0,6.0,1.0,1.0,0.0,0.0,2.0,3.6,3.5,2.07,3.8,3.62
2223,2022-09-16,FSV Mainz 05,Hertha,1,1,D,12.0,4.0,2.0,2.0,4.0,3.0,3.0,5.0,0.0,0.0,1.72,4.0,4.33,1.79,4.0,4.64
2223,2022-09-17,Borussia Monchengladbach,RB Leipzig,3,0,H,21.0,13.0,10.0,6.0,8.0,3.0,2.0,2.0,0.0,0.0,3.0,3.6,2.25,3.16,3.67,2.31
2223,2022-09-17,VfB Stuttgart,Eintracht Frankfurt,1,3,A,15.0,13.0,2.0,8.0,7.0,4.0,2.0,0.0,0.0,0.0,2.25,3.5,3.1,2.37,3.64,3.08
2223,2022-09-17,Bayer Leverkusen,Werder Bremen,1,1,D,19.0,19.0,7.0,7.0,9.0,6.0,2.0,3.0,0.0,0.0,1.61,4.33,5.0,1.67,4.6,4.83
2223,2022-09-17,FC Augsburg,Bayern Munich,1,0,H,9.0,21.0,4.0,7.0,2.0,8.0,3.0,1.0,0.0,0.0,17.0,8.0,1.16,14.69,9.0,1.18
2223,2022-09-17,Borussia Dortmund,Schalke 04,1,0,H,19.0,3.0,7.0,0.0,11.0,2.0,3.0,2.0,0.0,0.0,1.36,5.0,8.0,1.41,5.61,7.33
2223,2022-09-18,Union Berlin,VfL Wolfsburg,2,0,H,16.0,5.0,4.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.95,3.5,3.8,2.07,3.43,4.02
2223,2022-09-18,VfL Bochum,1. FC Koln,1,1,D,7.0,18.0,0.0,3.0,4.0,8.0,0.0,1.0,0.0,0.0,3.1,3.6,2.2,3.09,3.75,2.31
2223,2022-09-18,TSG Hoffenheim,SC Freiburg,0,0,D,10.0,14.0,3.0,4.0,5.0,3.0,1.0,2.0,0.0,0.0,2.15,3.6,3.2,2.24,3.71,3.27
2223,2022-09-30,Bayern Munich,Bayer Leverkusen,4,0,H,20.0,10.0,10.0,5.0,6.0,2.0,0.0,0.0,0.0,0.0,1.36,6.0,7.0,1.41,6.02,6.71
2223,2022-10-01,Werder Bremen,Borussia Monchengladbach,5,1,H,14.0,13.0,9.0,9.0,4.0,5.0,0.0,1.0,0.0,0.0,2.5,3.9,2.5,2.62,3.84,2.63
2223,2022-10-01,VfL Wolfsburg,VfB Stuttgart,3,2,H,20.0,15.0,7.0,7.0,8.0,5.0,3.0,5.0,0.0,0.0,2.4,3.4,2.9,2.41,3.53,3.08
